S.No.,Developer Name,CEO Name ,Office Address,Office Contact No.,Mobile No. ,E Mail,Total Project capacity (MW),Project Location,Project Tehsil/Taluka,Project District,Project Logitude,Project Latitude,"Projects in Solar Park
(Yes/No), If yes mention Solar Park name",,Type (Ground Mounted/Rooftop/Other),Type of Module (Thin/Poly/Mono/Other),Module Make,Scheme (Central /State Scheme),Mode of sale of power(captive/PPA/Third party sale),Tenure of PPA,Substation Name,Substation Voltage Level,Feeder Name,Feeder Voltage,Commissioned AC Capacity (MW) ,Commissioned DC Capacity (MWp) ,Date of Commissioning ,"Remark,if any",FY
57,NTPC,,"NTPC,New Delhi","11 24360100, 24387000, 24387001",,ntpccc@ntpc.co.in,200,NP Kunta,NP Kunta,Ananthapuramu,,,Yes,Ananthapuramu Ultra Mega Solar Park-I,Ground mounted,Poly Crystalline,,Central,PPA,25 Years,N.P. Kunta,220/400 KV,NTPC,220 KV,200,,15.04.2016,,2016-17
58,First Solar Power India Pvt Ltd (Hindupur Solar Park Pvt Ltd) (Vector Green Energy Pvt.Ltd. ),D Srinivasa Rao,"7-1-414/A&A1, Srinivasa Colony East, SR nagar, Ameerpet, Hyderabad-500038",040-42607960,9849008815,srinivasa.rao@vector-green.com,20,Nelapalli,Peddapanjani,Chittoor,78° 4010,13° 1931,No,NA,Ground mounted,Thin Film,First Solar,State Policy,PPA ,25 Years,Punganur,132 KV,Solar Feeder-1 to 4,33 KV,20,24,28.06.2016              ,,2016-17
59,"ACME JAISALMER 
Solar Power Pvt Ltd","Sandeep 
Kashyap","Plot no. 152, 
Sector-44, Gurgaon -122002",0124711-7000,9911299530,"sandeep.kashyap
@acme.in",20,"Pothuk
urupalli",Rayachoti,YSR Kadapa ,78.784,14.112,No,NA,Ground mounted,Poly Crystalline,BYD,State,PPA,25 Years,"
Rayachoti",33/132KV,ACME,33kV,20,25,12.05.2016,,2016-17
60,Waneep Solar Pvt Ltd (Hero FutureEnergies ltd),Sunil Jain ,"Plot No: 201, First Floor, Okhla Industrail Estate, Phase-III, New Delhi -110020",9909643210,9494099722,kolevenkata.muni@herofutureenergies.com,25,Marrimakulapalli,Guramkonda ,Chittoor,78.6,13.8,No,NA,Ground mounted,Poly Crystalline,Waaree,State,PPA,25 Years,Gurramkonda,132/33KV,Waree,132KV,25,27.4,24.05.2016                    (4.17 MW)                                     &                            29.09.2016                  (20.83 MW),,2016-17
61,First Solar Power India Pvt Ltd (Hindupur Solar Park Pvt Ltd) (Vector Green energy Pvt. Ltd),D Srinivasa Rao ,"7-1-414/A&A1, Srinivasa Colony East, SR nagar, Ameerpet, Hyderabad-500038",040-42607960,9849008815,srinivasa.rao@vector-green.com,20,Nelapalli,Peddapanjani,Chittoor,78° 4010,13° 1931,No,NA,Ground mounted,Thin Film,First Solar,State,PPA,25 Years,Punganur,132kV,Solar Feeder-1 to 4,33kV,20,24,09.05.2016              ,,2016-17
62,SSR Agro Energy,Mr. S.Venkata Ramana Reddy,"1/5, Gajulapelluru Village, B N Kandriga Mandal, B N Kandriga, Chittoor, Andhra Pradesh-517640",9840071668,9840071668,rasaafoods@gmail.com,1,Gajulapellore (V),BN Kandriga(M),Chittoor,79.877,13.699,No,NA,Ground mounted,Poly Crystalline,Sri Savitr Solar,State Policy,Third Party Sale,NA,B.N.Kandirga,33 KV,,,1,1,09.04.2016    ,,2016-17
63,Sumeru Energy Pvt Ltd,"Sri. Anil V, Director","Garden Towers, Masab Tank,Flat No: 210,Mahara Block,Hyderabad","Anil V, Director, 9949555875",9949555875,sumeruenergy@gmail.com,1,Jagadurthy,Dhone,Kurnool,77.889,15.461,No,NA,Ground mounted,Poly Crystalline,HT-SAAE,State,PPA,20 Years,Jagadurthy,33/11 KV,Jagadurthy,33 KV,1,1.2,23.06.2016,,2016-17
64,M/s. Creamline Dairy Products Ltd,,,,,,1,P.Gudipadu,S.N Padu,Prakasam,,,No,NA,Rooftop,,,State,Captive Use,NA,Uppalapadu,132/33KV,Chimakurthy,33KV,1,1,01.07.2016,,2016-17
65,New & Renewable Energy Development Corpn of AP Ltd (NREDCAP),VC& Managing Director,NREDCAP - Tadepalli,0863-2347650,9440359597,vc@nredcap.in,1,Golllavanitippa,Bhimavaram Rural,West Godavari,"81 19' 19.5"" ",16⁰  52' 26',No,NA,Canal Top,Ploy Crystalline,BHEL,Central ,PPA,25 Years,"
Gollavanitippa",33/11KV,Gollavanitippa,11 KV,1,1.1,07.07.2016,-,2016-17
66,VBC Renewable Energy Pvt Ltd,"Sri.V.Tejaswi Prasad,
M.D","Plotno.19,Doctors Colony, Pedawaltair, Visakhapatnam-530003,AP",0891-2558586,8008999242,vbcsolar@gmail.com,3,Garividi,Gurla,Vizianagaram,83.509,18.287,No,NA,Ground mounted,Poly Crystaline,Trina solar,State,PPA,25 Years,Garividi ,33/220 KV,VBC Solar,33 KV,3,3,20.07.2016,,2016-17
67,Varshini Exim Pvt Ltd,Mr. K. Meher Srinivas,"Door No.1594, Prasanthi Nagar, Khadi Colony, Tirupati-517501",8897094339,8897094339,mail_varshini@rediffmail.com,0.6,Nagari Madugu SS,Voyalpadu,Chittoor,78.706,13.701,No,NA,Ground mounted,Poly Crystalline,Canadian Solar,State ,Third Party Sale,NA,NagariMadugu,11/33KV,Varshini,33 KV,0.6,0.7,12.08.2016,,2016-17
68,NTPC                                                                            ,Bikesh Ogra,"Universal majestic, 9th Floor, P.L. Lkhande Marg, Chembur (west), Mumbai - 400043",,7904424162,krmohan@ntpc.co.in,50,NP Kunta,NP Kunta,Ananthapuramu,78.17,14.12,YES ,Ananthapuramu Ultra Mega Solar Park-I,Ground mounted,Poly Crystalline,WAREE,Central,PPA,25 Years,NP Kunta,220/400 KV,"2,15,216",220 KV,50,50,29.07.2016,,2016-17
69,Visakhapatnam Port Trust,Visakhapatnam Port Trust,"Visakhapatnam Port Trust, Town Kotha Road, Visakhapatnam",0891 2873404,9948298307,kamaraju_pandiri@yahoo.co.in,10,Port Trust,Visakhapatnam,Visakhapatnam,83.219,17.688,No,NA,Ground mounted,Poly Crystalline,"Renosolar, Schtten,Raisen",State,Capative/ Third party sale,NA,Gnanapuram,132/33KV,VPT solar plant(VSP-1375),33KV,10,10,18.08.2016,,2016-17
70,Sree Jaya Jyothi Cements Pvt Ltd.,BC Gurivi Reddy,"Yenakandla Village, Banaganapali Mandal, Enakandla, Kurnool, Andhra Pradesh - 518124","7660013042 (Sri. Gurivi Reddy, Site Incharge)","7660013042 (Sri. Gurivi Reddy, Site Incharge)",gurivireddy.b@myhomegroup.in,1,Yanakandla,Banagana palli,Kurnool,78.2,15.4,No,NA,Ground mounted,Poly Crystalline,Canadian Solar,State,Captive Use,NA, Banaganapalli,33/132KV,"Sree Jaya Jyothi Cements Pvt Ltd., SC NO: KNL326",132 KV,1,1.2,24.08.2016,,2016-17
71,Sprouts Solar Energy Pvt Ltd,N Ravi Kumar,"#401,Indra Imperia ,Above Yes Bank ,Opp Ramanthapur Lake,Ramanthapur, Habsiguda, Hyderabad  – 500 013,Ph:+91 8309154730 LL:040-2970 0557",040-2970 0557,8309154730,sproutsenergy@gmail.com,2,Pamulapadu,Pamulapadu,Kurnool,78.485,15.807,No,NA,Ground mounted,Poly Crystalline,HT-SAAE,State,PPA,20 Years,Pamulapadu ,33/11 KV,Sprouts Energy,33KV,2,2,08.09.2016,,2016-17
72,Ushodaya Enterprises Pvt. Ltd,G. Rajendra Babu,"Ushodaya Enterprises Pvt. Ltd., SP-1 Building, Ramoji Fil City, Anajpur (v), Abdullapurmet (Md.), Ranga Reddy (Dist.), Rtelangana - 501512",040-22232223,8008001234,rajendrababu@eenadu.net     kogantinaveen@eenadu.net,5,Tadimarri,Tadimarri,Ananthapuramu,77.813,14.537,No,NA,Ground mounted,Mono Crystalline,REC,State,"Captive/
Third party sale",NA,Tadimarri ,11/33 KV,Ushodaya,33 KV,5,5,22.09.2016,,2016-17
73,Sumeru Energy Pvt Ltd," Sri. Anil V, Director","Garden Towers, Masab Tank,Flat No: 210,Mahara Block,Hyderabad",9949555875,9949555875,sumeruenergy@gmail.com,4,Jagadurthy,Dhone,Kurnool,77.889,15.461,No,NA,Ground mounted,Poly Crystalline,HT-SAAE,State,PPA,20Years,Jagadurthy,33/11 KV,Jagadurthy,33 KV,4,4.8,22.09.2016,,2016-17
74,Narasimha Swamy Solar  Generations Pvt Ltd,B.Diwakar Reddy,"28/1070,Sai Baba Nagar, Nandyal,Kurnool district-518502",9849112177,9849112177,diwakareddy369@gmail.com,5,Peravali,Singanamala,Ananthapuramu,77° 47' 23'',14° 47' 6'',No,NA,Ground mounted,Poly Crystalline,Canadian solar,State,Third Party Sale,NA,Peravali,33/11  KV,Nainipalli,11KV,5,5.2,26.09.2016,,2016-17
75,"Yaswanth 
Solar Energy (Pvt) Ltd. ","K. Nageswara 
reddy ","Kottapally, 
Muddanur (M), Kadapa dist.",9440429119,9440429119,"nageswarareddy@
gmail.com ",1,"Kotta
pally",Muddanur ,YSR Kadapa ,,,No,NA,Ground mounted,Poly Crystalline,Renesola,State,PPA (Pooled Power Cost),10 Years,"
Muddanur",11/33 KV,,33 KV,1,1.1,01.10.2016,,2016-17
76,APGENCO,"Director, APGENCO ","APGENCO Vidyut Soudha, Gunadala, Vijayawada.","8333820657, 040-23317661",-,ce_hpc@apgenco.gov.in,5.99,Gollagudem,Unguturu,West Godavari,81⁰.35,16.86,No,NA,Ground mounted,Mono Crystalline,JA Solar,Central (Canal Bund),PPA,25 Years,"
Gollagudem",33/11KV,Gollagudem,33 KV,5.99,5.99,19.11.2016,,2016-17
77,Repal Renewables Pvt. Ltd.,Srinivasan Viswanathan,"VEH Global India Pvt Ltd. Level- 1, N- Heights, Plot No- 38, Phase- 2, Siddiq Nagar, Hi-Tec City, Hyderabad, Telangana- 500081.
",4067846101,9533422106,VAheerYadav@vibrantenergyholdings.com,4.9,Tanakallu,Tanakallu,Ananthapuramu,78.181,13.905,No,NA,Ground mounted,Poly Crystalline,LDK / GCEL,State,Captive Use,NA,Gunjuvaripalli,33 / 132KV,,33KV,4.9,5,19.11.2016,,2016-17
78,"Sri Varahalakshmi Narasimha Swamy Devasthanam, Simhachalam",Executive Officer,"Simhachalam,Visakhapatnam District",9705922257,, info@siriussolarenergy.com/endow-eosvlnsd@gov.in,1,Simhachalam,Simhachalam,Visakhapatnam,83.27,17.77,No,NA,Ground mounted,Poly Crystalline,Sirius Solar,State,Captive Use,NA,Pine Apple Colony,33/11 KV,Goshala solar power plant simhachalam, 11 KV,1,1,03.02.2017,,2016-17
79,Tirumala Tirupathi Devasthanams,Executive Officer,"Tirumala Tirupathi Devasthanams, Administrative Building,  Tirupathi - 517501",0877-2264270/4212,,eottd@tirumala.org,3,Kasavaripalli ,Thamballapalle ,Chittoor,,,No,NA,Ground Mounted,Poly Crystalline,Vikram Solar,State,Captive Use,NA,,,,,3,,02.02.2017,,2016-17
80,Kanti Brothers oils Pvt. Limited,Mr.Kantilal Shah,"Kallur,Kurnool District","91-8518-
289302",9440293305,solar.kantibro@gmail.com,3,Kallur,Kalluru,Kurnool,78.5,15.83,No,NA,Ground mounted,Poly Crystalline,Canadian Solar ,State,Captive Use & Third Party Sale,NA,Radio Station SS,33 /11 KV , Kalluru ,33KV ,3,3.008,11.02.2017,,2016-17
81,Sri Chakra Cements Pvt. Ltd.,Mr. Krishna Mohan,"Dr.No.6-3-668/10/66, Durga Nagar Colony, Punjagutta, Hyderabad - 500 082",9618001202,9618001202,dwarakasripathi@gmail.com,2,Perindesam,KVB Puram ,Chittoor,79.733,13.593,No,NA,Ground mounted,Poly Crystalline,Canadian Solar,State,Captive Use,NA,Ragigunta SS,33 KV,,,2,3,09.02.2017,,2016-17
82,SBG Cleantech ProjectCo Private Limited,Mr. Raman Nanada,"1st Floor, Worldmark-2, Asset Area-8, Hospitality District, Aerocity, NH – 8, Delhi-110037",011-49218000,09441172477 (Sri. Mohan Kumar),info@sbenergy.com,182,Gani,Gadivemula and Orvakal,Kurnool,78.287,15.673,Yes, Kurnool Ultra Mega Solar Park,Ground mounted,Poly Crystalline,Trina,Central,PPA,25 Years,Gani,220/400 KV,,220 KV,182,236.6,27.02.2017,,2016-17
83, IFMR,,"Sree City, Kalahasti",,,enq@ifmr.ac.in; aswin.v@ifmr.ac.in,0.5,Sree City,Kalahasti,Chittoor,,,No,NA,Ground mounted,,,State,Captive Use,NA,,,,,0.5,,10.03.2017,,2016-17
84,SVR Corporation Pvt Ltd,Mr.R.Uday Kumar Reddy,"#19-4-4G, STV Nagar, Tirupati",9010345555,9010345555,ruday555@gmail.com,2,Jillelamanda,KV Palli(M),Chittoor,,,No,NA,Ground mounted,Poly Crystalline,Canadian Solar,State,Third Party Sale,NA,Jillelamanda ,11/33 KV,,,2,2,15.03.2017,,2016-17
85,SSR Agro Energy,Mr. S.Venkata Ramana Reddy,"1/5, Gajulapelluru Village, B N Kandriga Mandal, B N Kandriga, Chittoor, Andhra Pradesh-517640",9840071668,9840071668,rasaafoods@gmail.com,1,Gajulapellore (V),BN Kandriga(M),Chittoor,79.877,13.699,No,NA,Ground mounted,Poly Crystalline,Sri Savitr Solar,State Policy,Third Party Sale,NA,B.N.Kandirga,33 KV,,,1,1,15.03.2017,,2016-17
86,SBG Cleantech ProjectCo Private Limited,Mr. Raman Nanada,"1st Floor, Worldmark-2, Asset Area-8, Hospitality District, Aerocity, NH – 8, Delhi-110037",011-49218000,09441172477 (Sri. Mohan Kumar),info@sbenergy.com,68,Gani,Gadivemula and Orvakal,Kurnool,,,Yes,Kurnool Ultra Mega Solar Park,Ground mounted,Poly Crystalline,Trina,Central,PPA,25 Years,Gani,220/400 KV,,220 KV,68,88.4,22.03.2017,,2016-17
87,Nateems Green Energy Pvt Ltd,,"2-9/5/6, Venkata sai gateway, Greenland colony, Gachibowli,Hyderabad",,9493383658,sloya@vibrantenergyholdings.com ,9.9,Kadiridevarapalli ,Kambadur,Ananthapuramu,,,No,NA,Ground mounted,,,State,Third Party Sale,NA,,,,,9.9,,24.03.2017,,2016-17
88,SBG Cleantech ProjectCo Private Limited,Mr. Raman Nanada,"1st Floor, Worldmark-2, Asset Area-8, Hospitality District, Aerocity, NH – 8, Delhi-110037",011-49218000,09441172477 (Sri. Mohan Kumar),info@sbenergy.com,100,Gani,Gadivemula and Orvakal,Kurnool,78.287,15.673,Yes,Kurnool Ultra Mega Solar Park,Ground mounted,Poly Crystalline,Trina,Central,PPA,25 Years,Gani,220/400 KV,,220 KV,100,130,29.03.2017,,2016-17
89,GSL Educational Sociey,G. Rajesh,"Mallampudi, Rajanagaram (M), East Godavari Dist ",9989151918 / 8008705099,8008705099,,1.5,Mallampudi,Rajanagaram,East Godavari,"81o55'47""","16o52'52""",No,NA,Ground mounted,Poly Crystalline,Access Solar,State,Captive Use,NA,Rajanagarm,11/33 KV,Dedicated GSL,33 KV,1.5,1.6,31.03.2017,,2016-17
90,Cyber Village Solutions (P) Ltd,Rambabu,"Flat No. 601, SV Sai Srinivasam, Main Road, Moosapet, Hyderabad 500 018",-,7032831893,cvspvtltd@gmail.com,3.65,Yeleswaram,Yeleswaram,East Godavari,82.097,17.281,No,NA,Ground mounted,Poly Crystalline,REC,State,Third Party Sale,NA,Yeleswaram,33/11 KV,Cyber Village ,33/11 KV,3.65,,31.03.2017,,2016-17
91,Divyesh Power Pvt Ltd (Greenko),Mr. Ram Prasad N,"#1131/A, Sai Square Building, Road No. 36,
Jubilee Hills, Hyderabad- 500033,
Telangana State, India",040-40301000,"9959552119, 9959552017, 9100533429;",subbaraju.p@greenkogroup.com; seshagirirao.n@greenkogroup.com; ramprasad.n@greenkogroup.com,50,Gani,Gadivemula,Kurnool,"78°15'31.7""E","15°39'22.7""N",Yes,Kurnool Ultra Mega Solar Park,Ground mounted,Ploy Crystalline,"TRINA,RISEN,GCL",Central,PPA,25 Years,Gani,400/220 kV,,220 KV,50,81.6,31.03.2017,,2016-17
92,SEI Baskar Power Private Limited (Greenko),Mr. Ram Prasad N,"#1131/A, Sai Square Building, Road No. 36,
Jubilee Hills, Hyderabad- 500033,
Telangana State, India",040-40301000,"9959552119, 9959552017, 9100533429;",subbaraju.p@greenkogroup.com; seshagirirao.n@greenkogroup.com; ramprasad.n@greenkogroup.com,50,Gani,Gadivemula,Kurnool,"78°15'32.2""E","15°39'24.3""N",Yes,Kurnool Ultra Mega Solar Park,Ground mounted,Ploy Crystalline,"TRINA,RISEN,GCL",Central,PPA,25 Years,Gani,400/220 kV,,220 KV,50,81.6,31.03.2017,,2016-17
93,Shreyas Renewable Energy Pvt Ltd (Greenko),Mr. Ram Prasad N,"#1131/A, Sai Square Building, Road No. 36,
Jubilee Hills, Hyderabad- 500033,
Telangana State, India",040-40301000,"9959552119, 9959552017, 9100533429;",subbaraju.p@greenkogroup.com; seshagirirao.n@greenkogroup.com; ramprasad.n@greenkogroup.com,50,Gani,Gadivemula,Kurnool,"78°15'27.3""E","15°39'30.0""N",Yes,Kurnool Ultra Mega Solar Park,Ground mounted,Ploy Crystalline,"TRINA,RISEN,GCL",Central,PPA,25 Years,Gani,400/220 kV,,220 KV,50,81.6,31.03.2017,,2016-17
94,Zuvan Energy Pvt Ltd (Greenko),Mr. Ram Prasad N,"#1131/A, Sai Square Building, Road No. 36,
Jubilee Hills, Hyderabad- 500033,
Telangana State, India",040-40301000,"9959552119, 9959552017, 9100533429;",subbaraju.p@greenkogroup.com; seshagirirao.n@greenkogroup.com; ramprasad.n@greenkogroup.com,50,Gani,Gadivemula,Kurnool,"78°15'38.2""E","15°39'29.0""N",Yes,Kurnool Ultra Mega Solar Park,Ground mounted,Ploy Crystalline,"TRINA,RISEN,GCL",Central,PPA,25 Years,Gani,400/220 kV,,220 KV,50,81.6,31.03.2017,,2016-17
95,Aarish Solar Power Pvt Ltd (Greenko),Mr. Ram Prasad N,"#1131/A, Sai Square Building, Road No. 36,
Jubilee Hills, Hyderabad- 500033,
Telangana State, India",040-40301000,"9959552119, 9959552017, 9100533429;",subbaraju.p@greenkogroup.com; seshagirirao.n@greenkogroup.com; ramprasad.n@greenkogroup.com,50,Gani,Gadivemula,Kurnool,"78°16'02.1""E","15°39'32.9""N",Yes,Kurnool Ultra Mega Solar Park,Ground mounted,Ploy Crystalline,"TRINA,RISEN,GCL",Central,PPA,25 Years,Gani,400/220 kV,,220 KV,50,81.6,31.03.2017,,2016-17
96,Pratyash Renewable Pvt Ltd (Greenko),Mr. Ram Prasad N,"#1131/A, Sai Square Building, Road No. 36,
Jubilee Hills, Hyderabad- 500033,
Telangana State, India",040-40301000,"9959552119, 9959552017, 9100533429;",subbaraju.p@greenkogroup.com; seshagirirao.n@greenkogroup.com; ramprasad.n@greenkogroup.com,50,Gani,Gadivemula,Kurnool,"78°14'26.2""E","15°40'34.8""N",Yes,Kurnool Ultra Mega Solar Park,Ground mounted,Ploy Crystalline,"TRINA,RISEN,GCL",Central,PPA,25 Years,Gani,400/220 kV,,220 KV,50,81.6,31.03.2017,,2016-17
97,Elena Tenewable Energy Pvt Ltd (Greenko),Mr. Ram Prasad N,"#1131/A, Sai Square Building, Road No. 36,
Jubilee Hills, Hyderabad- 500033,
Telangana State, India",040-40301000,"9959552119, 9959552017, 9100533429;",subbaraju.p@greenkogroup.com; seshagirirao.n@greenkogroup.com; ramprasad.n@greenkogroup.com,50,Gani,Gadivemula,Kurnool,"78°14'46.2""E","15°40'41.2""N",Yes,Kurnool Ultra Mega Solar Park,Ground mounted,Ploy Crystalline,"TRINA,RISEN,GCL",Central,PPA,25 Years,Gani,400/220 kV,,220 KV,50,81.6,31.03.2017,,2016-17
98,Aashman Energy Pvt Ltd (Greenko),Mr. Ram Prasad N,"#1131/A, Sai Square Building, Road No. 36,
Jubilee Hills, Hyderabad- 500033,
Telangana State, India",040-40301000,"9959552119, 9959552017, 9100533429;",subbaraju.p@greenkogroup.com; seshagirirao.n@greenkogroup.com; ramprasad.n@greenkogroup.com,50,Gani,Gadivemula,Kurnool,"78°14'40.4""E","15°40'42.3""N",Yes,Kurnool Ultra Mega Solar Park,Ground mounted,Ploy Crystalline,"TRINA,RISEN,GCL",Central,PPA,25 Years,Gani,400/220 kV,,220 KV,50,81.6,31.03.2017,,2016-17
99,SEI Mihir Energy  Private Limited (Greenko),Mr. Ram Prasad N,"#1131/A, Sai Square Building, Road No. 36,
Jubilee Hills, Hyderabad- 500033,
Telangana State, India",040-40301000,"9959552119, 9959552017, 9100533429;",subbaraju.p@greenkogroup.com; seshagirirao.n@greenkogroup.com; ramprasad.n@greenkogroup.com,50,Gani,Gadivemula,Kurnool,"78°15'32.2""E","15°40'59.5""N",Yes,Kurnool Ultra Mega Solar Park,Ground mounted,Ploy Crystalline,"TRINA,RISEN,GCL",Central,PPA,25 Years,Gani,400/220 kV,,220 KV,50,81.6,31.03.2017,,2016-17
100,SEI Enerstar Renewable Energy Pvt Ltd (Greenko),Mr. Ram Prasad N,"#1131/A, Sai Square Building, Road No. 36,
Jubilee Hills, Hyderabad- 500033,
Telangana State, India",040-40301000,"9959552119, 9959552017, 9100533429;",subbaraju.p@greenkogroup.com; seshagirirao.n@greenkogroup.com; ramprasad.n@greenkogroup.com,50,Gani,Gadivemula,Kurnool,"78°15'12.1""E","15°40'49.2""N",Yes,Kurnool Ultra Mega Solar Park,Ground mounted,Ploy Crystalline,"TRINA,RISEN,GCL",Central,PPA,25 Years,Gani,400/220 kV,,220 KV,50,81.6,31.03.2017,,2016-17
101,Repal Renewables Pvt. Limited,Mr. Rajesh,"2-9/5/6, Venkata sai gateway, Greenland colony, Gachibowli",040 40301000,9989884808,rajesh@armstrongenergyglobal.in,5.1,Thanakallu,Thanakallu,Ananthapuramu,,,No,NA,Ground mounted,,,State,Third Pary Sale,NA,,,,,5.1,,30.03.2017,,2016-17
102,Nateems Green Energy Pvt Ltd,Mr.Rajesh,"2-9/5/6, Venkata sai gateway, Greenland colony, Gachibowli", 040-23001230,9989884808,sloya@vibrantenergyholdings.com ,10,Garividi,Garividi,Vizianagaram,,,No,NA,Ground mounted,,,State,Third Party Sale,NA,,,,,10,,31.03.2017,,2016-17
103,Repal Renewables Pvt. Ltd.,Srinivasan Viswanathan,"VEH Global India Pvt Ltd. Level- 1, N- Heights, Plot No- 38, Phase- 2, Siddiq Nagar, Hi-Tec City, Hyderabad, Telangana- 500081.
",4067846101,9533422106,VAheerYadav@vibrantenergyholdings.com,10,Komatikuntla,Tadipatri,Ananthapuramu,77.982,14.768,No,NA,Ground mounted,Poly Crystalline,GCEL,State,Third Party Sale,NA,Komatikuntla,33 / 132 KV,,33KV,10,11.019,31.03.2017,,2016-17
104,"B.G.Channappa, Class-I, K.P.W.D.Contractor ",K.P.W.D.Contractor," No.135/A-35, 9th Main, R.M.V. Extension, Sadashivanagar,Bangalore - 560 080 ",,,bgc.abd@gmail.com; pavana@purizoenergy.com,2,"Gowriganipalli, Manepalli",Lepakshi,Ananthapuramu,,,No,NA,Ground mounted,,,State,Third Party Sale,NA,,,,,2,,31.03.2017,,2016-17
105,Vyshaka Solar Energy Systems Pvt Ltd,Mr.Sahith Reddy,"#19-9-3E/7, Jaya Nagar, Tiruchanur Road, Tirupati 517503",9704500007,9704500007,ppalreddy050@gmail.com,2,"Nuthanakaluva SS, MV Palli(V)",KV Palli(M),Chittoor,79.014,13.869,No,NA,Ground mounted,Poly Crystalline,Hanwei,State,Third Party Sale,NA,KV Palli ,11/33 KV,,,2,2,31.03.2017,,2016-17
106,Tirumala Tirupathi Devasthanams,Executive Officer,"Tirumala Tirupathi Devasthanams, Administrative Building,  Tirupathi - 517501",0877-2264270/4212,,eottd@tirumala.org,7,Kasavaripalli ,Thamballapalle ,Chittoor,,,No,NA,Ground mounted,,,State,Captive Use,NA,,,,,7,,31.03.2017,,2016-17
107,Repal Renewables Pvt. Limited,,"Timiteru Burjivalasa, Garbham(M), Vizianagaram Dist",,,,6,"Timiteru, Burjivalasa",Garbham,Vizianagaram,,,No,NA,,,,State Policy,Third Party Sale,,,,,,6,,31.03.2017,,2016-17
108,Azure Power India Pvt Ltd,Mr. Ranjit Gupta ,"Azure Power, 3rd Floor,Asset 301-304, Worldmark 3, Aerocity, New Delhi -110037","8374321707     (Mr Manohar Reddy, Site Incharge)",9391187432,"operationsho@azurepower.com,",50,Gani,Gadivemula and Orvakal,Kurnool,78.279,16.659,Yes,Kurnool Ultra Mega Solar Park,Ground mounted,Poly Cryystalline,Waree ,Central,PPA,25 Years ,Gani,220/400 KV,,220 KV,50,65.275,20.04.2017,,2017-18
109,Aurobindo Pharma Ltd,"Mr. I. Srinivasa Ramachander Rao,","Aurobindo Pharma Limited,
Water Mark Building, Plot No. 11, Survey no.9,
Kondapur, Hitech City,
Hyderabad – 500 084
Telangana, India.",040-66725100,9963550899,info@aurobindo.com  & isrrao@aurobindo.com,30,Pydi Bheemvaram,Ranasthalam,Srikakulam,83.649°E,18.138°N,No,NA,Ground mounted,Poly Crystalline,Trina Solar,State,Captive Use,, Pydibhimavaram,33/132 KV,Aurobindo Pharma Ltd Solar Power Plant,132 KV,30,32.08,21.05.2017,,2017-18
110,Azure Power India Pvt Ltd,Mr. Ranjit Gupta ,"Azure Power, 3rd Floor,Asset 301-304, Worldmark 3, Aerocity, New Delhi -110037","8374321707     (Mr Manohar Reddy, Site Incharge)",9391187432,"operationsho@azurepower.com,",50,Gani,Gadivemula and Orvakal,Kurnool,78.279,16.659,Yes,Kurnool Ultra Mega Solar Park,Ground mounted,Poly Crystalline,Waree,Central,PPA,25 Years,Gani,220/400 KV,,220 KV,50,64.95,26.05.2017,,2017-18
111,"SRDD Energy
(OPC) Pvt.Ltd.",S.Ramesh,"333/11,
Galaxy apartments.
2nd avenue,
annanagar,
chennai-600040",8369600970,8369600970,srddenergy@gmail.com ,1,Manganellore,Sullurpet ,SPSR Nellore,79.911099 E,13.754592 N,No,NA,Ground mounted,Poly Crystalline,Canadian solar ,State,Third Party Sale,NA,Manganellore ,11/333 KV,SRDD Energy,33 KV,1,1.1,21.06.2017,,2017-18
112,Prayatna Developers Pvt Ltd (ADANI),Sri. Anil Gupta,"4th Floor, Eastwing, Adani Corporate House, Shantigram, S.G.Highway, Ahmedabad  382412, Gujarat,India","Anil Gupta, 9099011151",9099011151,saaket.parikh@adani.com,20,Gani,Gadivemula,Kurnool,78.3,15.7,Yes,Kurnool Ultra Mega Solar Park,Ground mounted,Poly Crystalline,ADANI,Central,PPA,25 Years,Gani,220/400 KV,,220 KV,20,,15.07.2017,,2017-18
113, Prayatna Developers Pvt Ltd (ADANI),Sri. Anil Gupta,"4th Floor, Eastwing, Adani Corporate House, Shantigram, S.G.Highway, Ahmedabad  382412, Gujarat,India",91 79 2555 8396,9099011151,saaket.parikh@adani.com,30,Gani,Gadivemula,Kurnool,78.3,15.7,Yes,Kurnool Ultra Mega Solar Park,Ground mounted,Poly Crystalline,ADANI,Central,PPA,25 Years,Gani,220/400 KV,,220 KV,30,68.56,28.06.2017,,2017-18
114,SEI Arushi Pvt ltd,Mr. Ram Prasad N,"#1131/A, Sai Square Building, Road No. 36,
Jubilee Hills, Hyderabad- 500033,
Telangana State, India",040-40301000,"9959552119, 9959552017, 9100533429;",subbaraju.p@greenkogroup.com; seshagirirao.n@greenkogroup.com; ramprasad.n@greenkogroup.com,30,Nagareddipalli,Kadiri,Ananthapuramu,"78°04'04.7""E","14°13'02.0""N",No,NA,Ground mounted,Poly Crystalline,"JA SOLAR
RISEN",State,PPA,25 Years,Kutagulla,132/33 KV,SEI Arushi Pvt Ltd,132 KV,30,32.99,28.10.2017,,2017-18
